data/sip-instances/si/si2_bvg_b03m_800/si2_b03m_m800.00/pattern,160,188,0,2.35,17,2.17428,0.0147799,1,5.14277,8,0.979062,0.93125,0.852422
data/sip-instances/si/si2_bvg_b03m_800/si2_b03m_m800.00/target,800,1199,0,2.9975,17,1.61941,0.00375156,1,7.1107,15,0.995003,0.9853,0.963034
data/sip-instances/si/si2_bvg_b03m_800/si2_b03m_m800.09/pattern,160,180,0,2.25,22,2.47235,0.0141509,1,4.11832,6,0.979688,0.925156,0.729609
data/sip-instances/si/si2_bvg_b03m_800/si2_b03m_m800.09/target,800,1198,0,2.995,22,1.59999,0.00374844,0,7.03252,16,0.992509,0.982903,0.958337
data/sip-instances/si/si2_bvg_b03m_800/si2_b03m_m800.08/pattern,160,181,0,2.2625,20,2.21497,0.0142296,1,5.11148,8,0.979609,0.932969,0.861406
data/sip-instances/si/si2_bvg_b03m_800/si2_b03m_m800.08/target,800,1199,0,2.9975,20,1.56923,0.00375156,1,7.27199,16,0.995003,0.985581,0.964356
data/sip-instances/si/si2_bvg_b03m_800/si2_b03m_m800.07/pattern,160,186,0,2.325,23,2.2626,0.0146226,1,4.5908,6,0.979219,0.929375,0.82125
data/sip-instances/si/si2_bvg_b03m_800/si2_b03m_m800.07/target,800,1200,0,3,23,1.68819,0.00375469,0,7.38275,18,0.992503,0.982553,0.958919
data/sip-instances/si/si2_bvg_b03m_800/si2_b03m_m800.06/pattern,160,188,0,2.35,14,2.42951,0.0147799,1,5.15511,8,0.979062,0.923438,0.8425
data/sip-instances/si/si2_bvg_b03m_800/si2_b03m_m800.06/target,800,1200,0,3,20,1.58745,0.00375469,1,7.17474,16,0.995,0.985328,0.962466
data/sip-instances/si/si2_bvg_b03m_800/si2_b03m_m800.05/pattern,160,187,0,2.3375,22,2.65727,0.0147013,1,4.76517,8,0.979141,0.918047,0.825703
data/sip-instances/si/si2_bvg_b03m_800/si2_b03m_m800.05/target,800,1200,0,3,22,1.64545,0.00375469,0,7.19744,15,0.992503,0.982669,0.960041
data/sip-instances/si/si6_bvg_b06_200/si6_b06_m200.01/pattern,120,354,0,5.9,6,0.472582,0.0495798,1,13.7815,40,0.9425,0.894583,0.847917
data/sip-instances/si/si6_bvg_b06_200/si6_b06_m200.01/target,200,600,0,6,6,0,0.0301508,1,17.0854,34,0.965,0.935,0.905
data/sip-instances/si/si6_bvg_b06_200/si6_b06_m200.02/pattern,120,354,0,5.9,6,0.472582,0.0495798,1,13.7815,40,0.9425,0.894583,0.847917
